id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
313,1,NL,-0.832191516,ideal,1,-0.693841827,1,Paid Search Branded,5,13
314,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,5,13
315,1,NL,0.697264114,visa,0,0.678215328,0,Paid Search Branded,5,13
316,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,13
317,0,NL,-0.918492183,ideal,0,0.129935806,0,Paid Search Branded,5,13
318,1,NL,-0.600998091,ideal,0,2.598675492,0,Direct Access,5,13
319,1,NL,-0.456682594,ideal,1,-0.693841827,0,Organic Search,5,14
320,0,NL,0.55352588,ideal,1,-0.693841827,1,Direct Access,5,14
321,0,NL,-1.03394458,visa,1,-0.693841827,0,Paid Search Branded,5,14
322,0,NL,-0.485545694,ideal,0,0.432230462,0,Paid Search Branded,5,14
323,0,NL,-1.005370111,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,14
324,0,NL,4.88299077,ideal,0,1.205749139,0,Organic Search,5,14
325,1,NL,-0.658724289,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,14
326,0,NL,0.55352588,ideal,0,0.417412096,0,Paid Search Branded,5,14
327,1,NL,0.842156873,ideal,1,-0.693841827,0,Organic Search,5,14
328,0,NL,-0.889917714,ideal,0,-0.080484983,0,Paid Search Non-Branded,5,14
329,1,NL,0.062853192,ideal,1,-0.693841827,0,Paid Search Branded,5,14
330,1,NL,0.437784852,ideal,0,1.013110388,1,Organic Search,5,14
331,0,NL,-0.312367098,ideal,1,-0.693841827,1,Direct Access,5,14
332,1,NL,-0.312367098,ideal,1,-0.693841827,1,Direct Access,5,14
333,0,BE,-0.312367098,visa,1,-0.693841827,0,Paid Social,5,14
334,1,NL,-0.658724289,ideal,1,-0.693841827,1,Paid Search Branded,5,15
335,0,NL,0.582100348,ideal,0,-0.581345736,0,Organic Search,5,15
336,0,NL,-0.2257778,visa,0,0.817507964,0,Direct Access,5,15
337,0,NL,-0.823243955,ideal,1,-0.693841827,0,Paid Search Branded,5,15
338,0,NL,-0.889917714,ideal,0,-0.050848252,0,Paid Search Branded,5,15
339,0,NL,-0.168051602,ideal,0,1.362823813,0,Paid Search Branded,5,15
340,0,NL,0.409210384,ideal,0,1.306514024,0,Direct Access,5,15
341,0,NL,0.639826547,ideal,1,-0.693841827,0,Direct Access,5,15
342,0,NL,-0.658724289,visa,0,0.817507964,0,Direct Access,5,15
